location_name,state,district,latitude,longitude
Sagar,Madhya Pradesh,Sagar,23.8388,78.7378
Dewas,Madhya Pradesh,Dewas,22.9623,76.0503
Satna,Madhya Pradesh,Satna,24.5694,80.8322
Ratlam,Madhya Pradesh,Ratlam,23.3315,75.0367
Rewa,Madhya Pradesh,Rewa,24.5362,81.2994
Murwara,Madhya Pradesh,Katni,23.8315,80.3933
Singrauli,Madhya Pradesh,Singrauli,24.1994,82.6744
Burhanpur,Madhya Pradesh,Burhanpur,21.3103,76.2294
Khandwa,Madhya Pradesh,East Nimar,21.8264,76.353
Bhind,Madhya Pradesh,Bhind,26.5647,78.787
Mumbai,Maharashtra,Mumbai City,19.076,72.8777
Pune,Maharashtra,Pune,18.5204,73.8567
Nagpur,Maharashtra,Nagpur,21.1458,79.0882
Thane,Maharashtra,Thane,19.2183,72.9781
Nashik,Maharashtra,Nashik,19.9975,73.7898
Aurangabad,Maharashtra,Aurangabad,19.8762,75.3433
Solapur,Maharashtra,Solapur,17.6599,75.9064
Kolhapur,Maharashtra,Kolhapur,16.705,74.2433
Amravati,Maharashtra,Amravati,20.932,77.7523
Nanded,Maharashtra,Nanded,19.1383,77.321
Sangli,Maharashtra,Sangli,16.8524,74.5815
Malegaon,Maharashtra,Nashik,20.5579,74.5089
Jalgaon,Maharashtra,Jalgaon,21.0077,75.5626
Akola,Maharashtra,Akola,20.7002,77.0082
Latur,Maharashtra,Latur,18.4088,76.5604
Dhule,Maharashtra,Dhule,20.9042,74.7749
Ahmednagar,Maharashtra,Ahmednagar,19.0952,74.748
Chandrapur,Maharashtra,Chandrapur,19.9615,79.2961
Parbhani,Maharashtra,Parbhani,19.2704,76.7749
Ichalkaranji,Maharashtra,Kolhapur,16.6936,74.4611
Andheri,Maharashtra,Mumbai Suburban,19.1136,72.8697
Bandra,Maharashtra,Mumbai Suburban,19.0596,72.8295
Dadar,Maharashtra,Mumbai City,19.0178,72.8478
Worli,Maharashtra,Mumbai City,19.0176,72.8157
Borivali,Maharashtra,Mumbai Suburban,19.2307,72.8567
Malad,Maharashtra,Mumbai Suburban,19.1874,72.8481
Goregaon,Maharashtra,Mumbai Suburban,19.1663,72.8526
Kandivali,Maharashtra,Mumbai Suburban,19.2094,72.8526
Chembur,Maharashtra,Mumbai Suburban,19.0522,72.8997
Kurla,Maharashtra,Mumbai Suburban,19.0726,72.8795
Vashi,Maharashtra,Thane,19.0771,73.0073
Belapur,Maharashtra,Thane,19.0213,73.0338
Panvel,Maharashtra,Raigad,18.9894,73.1175
Pimpri,Maharashtra,Pune,18.6279,73.7997
Chinchwad,Maharashtra,Pune,18.6186,73.8037
Hadapsar,Maharashtra,Pune,18.5018,73.9263
Kothrud,Maharashtra,Pune,18.5074,73.8077
Wakad,Maharashtra,Pune,18.5985,73.7611
Imphal,Manipur,Imphal West,24.817,93.9368
Thoubal,Manipur,Thoubal,24.6369,93.9997
Bishnupur,Manipur,Bishnupur,24.6233,93.7627
Shillong,Meghalaya,East Khasi Hills,25.5788,91.8933
Tura,Meghalaya,West Garo Hills,25.5142,90.216
Jowai,Meghalaya,Jaintia Hills,25.45,92.2
Aizawl,Mizoram,Aizawl,23.7271,92.7176
Lunglei,Mizoram,Lunglei,22.8886,92.7362
Kohima,Nagaland,Kohima,25.6701,94.1077
Dimapur,Nagaland,Dimapur,25.9044,93.7265
Bhubaneswar,Odisha,Khurda,20.2961,85.8245
Cuttack,Odisha,Cuttack,20.4625,85.883
Rourkela,Odisha,Sundargarh,22.2604,84.8536
Brahmapur,Odisha,Ganjam,19.315,84.7941
Sambalpur,Odisha,Sambalpur,21.4669,83.9756
Puri,Odisha,Puri,19.8135,85.8312
Balasore,Odisha,Balasore,21.4927,86.9314
Baripada,Odisha,Mayurbhanj,21.9318,86.7314
Bhadrak,Odisha,Bhadrak,21.0544,86.4997
Jharsuguda,Odisha,Jharsuguda,21.8558,84.0064
Ludhiana,Punjab,Ludhiana,30.901,75.8573
Amritsar,Punjab,Amritsar,31.634,74.8723
Jalandhar,Punjab,Jalandhar,31.326,75.5762
Patiala,Punjab,Patiala,30.3398,76.3869
Bathinda,Punjab,Bathinda,30.211,74.9455
Mohali,Punjab,Sahibzada Ajit Singh Nagar,30.7046,76.7179
Pathankot,Punjab,Pathankot,32.2643,75.6522
Hoshiarpur,Punjab,Hoshiarpur,31.5143,75.9115
Moga,Punjab,Moga,30.8182,75.1683
Firozpur,Punjab,Firozpur,30.9254,74.613
Jaipur,Rajasthan,Jaipur,26.9124,75.7873
Jodhpur,Rajasthan,Jodhpur,26.2389,73.0243
Kota,Rajasthan,Kota,25.2138,75.8648
Bikaner,Rajasthan,Bikaner,28.0229,73.3119
Ajmer,Rajasthan,Ajmer,26.4499,74.6399
Udaipur,Rajasthan,Udaipur,24.5854,73.7125
Bhilwara,Rajasthan,Bhilwara,25.3407,74.6313
Alwar,Rajasthan,Alwar,27.553,76.6346
Bharatpur,Rajasthan,Bharatpur,27.2152,77.4938
Sri Ganganagar,Rajasthan,Sri Ganganagar,29.9038,73.8772
Sikar,Rajasthan,Sikar,27.6094,75.1399
Pali,Rajasthan,Pali,25.7711,73.3234
Tonk,Rajasthan,Tonk,26.1667,75.79
Churu,Rajasthan,Churu,28.2977,74.9617
Jhunjhunu,Rajasthan,Jhunjhunu,28.1289,75.3996
Gangtok,Sikkim,East Sikkim,27.3389,88.6065
Namchi,Sikkim,South Sikkim,27.1667,88.3667
Chennai,Tamil Nadu,Chennai,13.0827,80.2707
Coimbatore,Tamil Nadu,Coimbatore,11.0168,76.9558
Madurai,Tamil Nadu,Madurai,9.9252,78.1198
Tiruchirappalli,Tamil Nadu,Tiruchirappalli,10.7905,78.7047
Salem,Tamil Nadu,Salem,11.6643,78.146
Tirunelveli,Tamil Nadu,Tirunelveli,8.7139,77.7567
Vellore,Tamil Nadu,Vellore,12.9165,79.1325
Erode,Tamil Nadu,Erode,11.341,77.7172
Tiruppur,Tamil Nadu,Tiruppur,11.1085,77.3411
Dindigul,Tamil Nadu,Dindigul,10.3624,77.9695
Thanjavur,Tamil Nadu,Thanjavur,10.787,79.1378
Ranipet,Tamil Nadu,Ranipet,12.9279,79.3327
Sivakasi,Tamil Nadu,Virudhunagar,9.4533,77.7979
Kancheepuram,Tamil Nadu,Kancheepuram,12.8185,79.7054
Nagercoil,Tamil Nadu,Kanyakumari,8.1833,77.4119
Kumbakonam,Tamil Nadu,Thanjavur,10.9602,79.3845
Anna Nagar,Tamil Nadu,Chennai,13.0891,80.2101
Adyar,Tamil Nadu,Chennai,13.0012,80.2565
Tambaram,Tamil Nadu,Chennai,12.9249,80.1
Velachery,Tamil Nadu,Chennai,12.9815,80.218
Porur,Tamil Nadu,Chennai,13.0327,80.1557
Hyderabad,Telangana,Hyderabad,17.385,78.4867
Warangal,Telangana,Warangal Urban,17.9689,79.5941
Nizamabad,Telangana,Nizamabad,18.6725,78.0941
Karimnagar,Telangana,Karimnagar,18.4386,79.1288
Ramagundam,Telangana,Peddapalli,18.757,79.474
Khammam,Telangana,Khammam,17.2473,80.1514
Mahbubnagar,Telangana,Mahbubnagar,16.7488,77.9881
Nalgonda,Telangana,Nalgonda,17.0575,79.2676
Adilabad,Telangana,Adilabad,19.6641,78.532
Secunderabad,Telangana,Hyderabad,17.4399,78.4983
Kukatpally,Telangana,Hyderabad,17.4849,78.3938
Gachibowli,Telangana,Hyderabad,17.4401,78.3489
Hitech City,Telangana,Hyderabad,17.4504,78.3808
Banjara Hills,Telangana,Hyderabad,17.4138,78.4385
Jubilee Hills,Telangana,Hyderabad,17.4324,78.4074
Agartala,Tripura,West Tripura,23.8315,91.2868
Dharmanagar,Tripura,North Tripura,24.3773,92.168
Lucknow,Uttar Pradesh,Lucknow,26.8467,80.9462
Kanpur,Uttar Pradesh,Kanpur Nagar,26.4499,80.3319
Agra,Uttar Pradesh,Agra,27.1767,78.0081
Varanasi,Uttar Pradesh,Varanasi,25.3176,82.9739
Allahabad,Uttar Pradesh,Allahabad,25.4358,81.8463
Meerut,Uttar Pradesh,Meerut,28.9845,77.7064
Ghaziabad,Uttar Pradesh,Ghaziabad,28.6692,77.4538
Noida,Uttar Pradesh,Gautam Buddh Nagar,28.5355,77.391
Bareilly,Uttar Pradesh,Bareilly,28.367,79.4304
Aligarh,Uttar Pradesh,Aligarh,27.8974,78.088
Moradabad,Uttar Pradesh,Moradabad,28.8386,78.7733
Saharanpur,Uttar Pradesh,Saharanpur,29.968,77.551
Gorakhpur,Uttar Pradesh,Gorakhpur,26.7606,83.3732
Faizabad,Uttar Pradesh,Faizabad,26.7731,82.1459
Jhansi,Uttar Pradesh,Jhansi,25.4484,78.5685
Mathura,Uttar Pradesh,Mathura,27.4924,77.6737
Firozabad,Uttar Pradesh,Firozabad,27.1592,78.3957
Muzaffarnagar,Uttar Pradesh,Muzaffarnagar,29.4727,77.7085
Rampur,Uttar Pradesh,Rampur,28.8088,79.0249
Shahjahanpur,Uttar Pradesh,Shahjahanpur,27.8833,79.9053
Loni,Uttar Pradesh,Ghaziabad,28.7498,77.289
Hapur,Uttar Pradesh,Hapur,28.73,77.7754
Etawah,Uttar Pradesh,Etawah,26.7749,79.017
Mirzapur,Uttar Pradesh,Mirzapur,25.1458,82.5695
Bulandshahr,Uttar Pradesh,Bulandshahr,28.4074,77.849
Greater Noida,Uttar Pradesh,Gautam Buddh Nagar,28.4744,77.504
Vrindavan,Uttar Pradesh,Mathura,27.5794,77.6961
Ayodhya,Uttar Pradesh,Faizabad,26.7922,82.1998
Dehradun,Uttarakhand,Dehradun,30.3165,78.0322
Haridwar,Uttarakhand,Haridwar,29.9457,78.1642
Roorkee,Uttarakhand,Haridwar,29.8543,77.888
Haldwani,Uttarakhand,Nainital,29.2183,79.513
Rudrapur,Uttarakhand,Udham Singh Nagar,28.9773,79.403
Kashipur,Uttarakhand,Udham Singh Nagar,29.21,78.96
Rishikesh,Uttarakhand,Dehradun,30.0869,78.2676
Nainital,Uttarakhand,Nainital,29.3803,79.4636
Kolkata,West Bengal,Kolkata,22.5726,88.3639
Asansol,West Bengal,Paschim Bardhaman,23.6889,86.9661
Siliguri,West Bengal,Darjeeling,26.7271,88.3953
Durgapur,West Bengal,Paschim Bardhaman,23.5204,87.3119
Bardhaman,West Bengal,Purba Bardhaman,23.2324,87.8615
Malda,West Bengal,Malda,25.0108,88.1415
Baharampur,West Bengal,Murshidabad,24.1011,88.2516
Habra,West Bengal,North 24 Parganas,22.8418,88.6547
Kharagpur,West Bengal,Paschim Medinipur,22.3302,87.3237
Shantipur,West Bengal,Nadia,23.2488,88.432
Darjeeling,West Bengal,Darjeeling,27.036,88.2627
Howrah,West Bengal,Howrah,22.5958,88.2636
Salt Lake,West Bengal,North 24 Parganas,22.5818,88.4153
Dum Dum,West Bengal,North 24 Parganas,22.652,88.3968
Barasat,West Bengal,North 24 Parganas,22.7218,88.4818
Serampore,Uttar Pradesh,Hooghly,22.7502,88.3418
Chandigarh,Chandigarh,Chandigarh,30.7333,76.7794
Sector 17 Chandigarh,Chandigarh,Chandigarh,30.7419,76.782
Sector 22 Chandigarh,Chandigarh,Chandigarh,30.728,76.7717
Srinagar,Jammu and Kashmir,Srinagar,34.0837,74.7973
Jammu,Jammu and Kashmir,Jammu,32.7266,74.857
Anantnag,Jammu and Kashmir,Anantnag,33.7311,75.1487
Baramulla,Jammu and Kashmir,Baramulla,34.2268,74.3441
Sopore,Jammu and Kashmir,Baramulla,34.2996,74.4729
Kathua,Jammu and Kashmir,Kathua,32.384,75.515
Udhampur,Jammu and Kashmir,Udhampur,32.916,75.1419
Leh,Ladakh,Leh,34.1526,77.5771
Kargil,Ladakh,Kargil,34.5539,76.1349
